gameId,creationTime,gameDuration,seasonId,winner,team1Wins,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_champ_ids,t2_champ_ids,t1_champ_names,t2_champ_names,t1_champ_tags,t2_champ_tags,t1_summoner_spells_ids,t2_summoner_spells_ids,t1_summoner_spells_names,t2_summoner_spells_names,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills,t1_bans,t2_bans,t1_ban_names,t2_ban_names,t1_objectives,t2_objectives
3296306866,1502295673670,1226,9,2,False,1,2,2,0,2,2,"[25, 238, 85, 254, 29]","[107, 61, 122, 89, 119]","['Morgana', 'Zed', 'Kennen', 'Vi', 'Twitch']","['Rengar', 'Orianna', 'Darius', 'Leona', 'Draven']","[['Mage', 'Support'], ['Assassin', 'Fighter'], ['Mage', 'Marksman'], ['Fighter', 'Assassin'], ['Marksman', 'Assassin']]","[['Assassin', 'Fighter'], ['Mage', 'Support'], ['Fighter', 'Tank'], ['Tank', 'Support'], ['Marksman']]","[[4, 3], [14, 4], [4, 12], [4, 11], [4, 7]]","[[4, 11], [4, 21], [12, 4], [3, 4], [7, 4]]","[['Flash', 'Exhaust'], ['Ignite', 'Flash'], ['Flash', 'Teleport'], ['Flash', 'Smite'], ['Flash', 'Heal']]","[['Flash', 'Smite'], ['Flash', 'Barrier'], ['Teleport', 'Flash'], ['Exhaust', 'Flash'], ['Heal', 'Flash']]",0,0,0,0,0,9,3,0,2,1,"[31, 105, 18, 59, 141]","[40, 63, 6, 31, 157]","[""Cho'Gath"", 'Fizz', 'Tristana', 'Jarvan IV', 'Kayn']","['Janna', 'Brand', 'Urgot', ""Cho'Gath"", 'Yasuo']","[0, 0, 0, 0, 0]","[9, 3, 0, 2, 1]"
3326343190,1504293088914,1233,9,1,True,1,1,1,0,1,0,"[28, 238, 90, 267, 18]","[31, 21, 44, 141, 163]","['Evelynn', 'Zed', 'Malzahar', 'Nami', 'Tristana']","[""Cho'Gath"", 'Miss Fortune', 'Taric', 'Kayn', 'Taliyah']","[['Assassin', 'Mage'], ['Assassin', 'Fighter'], ['Mage', 'Assassin'], ['Support', 'Mage'], ['Marksman', 'Assassin']]","[['Tank', 'Mage'], ['Marksman'], ['Support', 'Fighter'], ['Fighter', 'Assassin'], ['Mage', 'Support']]","[[4, 11], [4, 12], [4, 14], [3, 4], [7, 4]]","[[12, 4], [4, 7], [3, 4], [11, 4], [4, 3]]","[['Flash', 'Smite'], ['Flash', 'Teleport'], ['Flash', 'Ignite'], ['Exhaust', 'Flash'], ['Heal', 'Flash']]","[['Teleport', 'Flash'], ['Flash', 'Heal'], ['Exhaust', 'Flash'], ['Smite', 'Flash'], ['Flash', 'Exhaust']]",7,1,0,2,0,0,0,0,0,0,"[40, 38, 105, 119, 24]","[113, 40, 117, 16, -1]","['Janna', 'Kassadin', 'Fizz', 'Draven', 'Jax']","['Sejuani', 'Janna', 'Lulu', 'Soraka', 'None']","[7, 1, 0, 2, 0]","[0, 0, 0, 0, 0]"
3260960194,1499866141337,1489,9,1,True,2,1,1,1,1,2,"[38, 119, 40, 121, 83]","[43, 11, 202, 150, 238]","['Kassadin', 'Draven', 'Janna', ""Kha'Zix"", 'Yorick']","['Karma', 'Master Yi', 'Jhin', 'Gnar', 'Zed']","[['Assassin', 'Mage'], ['Marksman'], ['Support', 'Mage'], ['Assassin', 'Fighter'], ['Fighter', 'Tank']]","[['Mage', 'Support'], ['Assassin', 'Fighter'], ['Marksman', 'Assassin'], ['Fighter', 'Tank'], ['Assassin', 'Fighter']]","[[4, 12], [4, 7], [4, 3], [4, 11], [12, 4]]","[[3, 4], [4, 11], [4, 7], [12, 4], [14, 4]]","[['Flash', 'Teleport'], ['Flash', 'Heal'], ['Flash', 'Exhaust'], ['Flash', 'Smite'], ['Teleport', 'Flash']]","[['Exhaust', 'Flash'], ['Flash', 'Smite'], ['Flash', 'Heal'], ['Teleport', 'Flash'], ['Ignite', 'Flash']]",11,4,1,3,0,1,0,0,0,1,"[157, 498, 90, 31, 51]","[154, 29, 114, 19, 51]","['Yasuo', 'Xayah', 'Malzahar', ""Cho'Gath"", 'Caitlyn']","['Zac', 'Twitch', 'Fiora', 'Warwick', 'Caitlyn']","[11, 4, 1, 3, 0]","[1, 0, 0, 0, 1]"
3269653607,1500417830087,1468,9,2,False,1,2,0,0,2,0,"[67, 412, 7, 141, 22]","[238, 39, 53, 236, 56]","['Vayne', 'Thresh', 'LeBlanc', 'Kayn', 'Ashe']","['Zed', 'Irelia', 'Blitzcrank', 'Lucian', 'Nocturne']","[['Marksman', 'Assassin'], ['Support', 'Fighter'], ['Assassin', 'Mage'], ['Fighter', 'Assassin'], ['Marksman', 'Support']]","[['Assassin', 'Fighter'], ['Fighter', 'Assassin'], ['Tank', 'Fighter'], ['Marksman'], ['Assassin', 'Fighter']]","[[4, 7], [3, 4], [4, 21], [4, 11], [4, 7]]","[[3, 4], [4, 12], [4, 3], [4, 7], [4, 11]]","[['Flash', 'Heal'], ['Exhaust', 'Flash'], ['Flash', 'Barrier'], ['Flash', 'Smite'], ['Flash', 'Heal']]","[['Exhaust', 'Flash'], ['Flash', 'Teleport'], ['Flash', 'Exhaust'], ['Flash', 'Heal'], ['Flash', 'Smite']]",1,0,0,0,0,5,0,0,2,0,"[498, 122, 8, 11, 134]","[114, 154, 91, 105, 23]","['Xayah', 'Darius', 'Vladimir', 'Master Yi', 'Syndra']","['Fiora', 'Zac', 'Talon', 'Fizz', 'Tryndamere']","[1, 0, 0, 0, 0]","[5, 0, 0, 2, 0]"
3325627631,1504219701425,1298,9,1,True,1,1,1,0,0,1,"[99, 28, 81, 238, 98]","[222, 245, 266, 141, 117]","['Lux', 'Evelynn', 'Ezreal', 'Zed', 'Shen']","['Jinx', 'Ekko', 'Aatrox', 'Kayn', 'Lulu']","[['Mage', 'Support'], ['Assassin', 'Mage'], ['Marksman', 'Mage'], ['Assassin', 'Fighter'], ['Tank']]","[['Marksman'], ['Assassin', 'Fighter'], ['Fighter', 'Tank'], ['Fighter', 'Assassin'], ['Support', 'Mage']]","[[3, 4], [4, 11], [4, 7], [4, 14], [4, 12]]","[[7, 4], [4, 12], [12, 4], [4, 11], [4, 3]]","[['Exhaust', 'Flash'], ['Flash', 'Smite'], ['Flash', 'Heal'], ['Flash', 'Ignite'], ['Flash', 'Teleport']]","[['Heal', 'Flash'], ['Flash', 'Teleport'], ['Teleport', 'Flash'], ['Flash', 'Smite'], ['Flash', 'Exhaust']]",10,2,0,0,1,0,0,0,0,0,"[11, 516, 53, 31, 122]","[75, 157, 105, 31, 40]","['Master Yi', 'Ornn', 'Blitzcrank', ""Cho'Gath"", 'Darius']","['Nasus', 'Yasuo', 'Fizz', ""Cho'Gath"", 'Janna']","[10, 2, 0, 0, 1]","[0, 0, 0, 0, 0]"
3321064899,1503916161433,1446,9,2,False,2,1,0,0,1,0,"[254, 81, 82, 238, 44]","[1, 105, 121, 114, 18]","['Vi', 'Ezreal', 'Mordekaiser', 'Zed', 'Taric']","['Annie', 'Fizz', ""Kha'Zix"", 'Fiora', 'Tristana']","[['Fighter', 'Assassin'], ['Marksman', 'Mage'], ['Fighter'], ['Assassin', 'Fighter'], ['Support', 'Fighter']]","[['Mage'], ['Assassin', 'Fighter'], ['Assassin', 'Fighter'], ['Fighter', 'Assassin'], ['Marksman', 'Assassin']]","[[11, 4], [4, 7], [4, 12], [4, 14], [3, 4]]","[[4, 3], [4, 14], [11, 4], [12, 4], [7, 4]]","[['Smite', 'Flash'], ['Flash', 'Heal'], ['Flash', 'Teleport'], ['Flash', 'Ignite'], ['Exhaust', 'Flash']]","[['Flash', 'Exhaust'], ['Flash', 'Ignite'], ['Smite', 'Flash'], ['Teleport', 'Flash'], ['Heal', 'Flash']]",3,0,0,2,0,3,0,0,0,0,"[122, 53, 90, 516, 498]","[31, 67, 157, 122, 53]","['Darius', 'Blitzcrank', 'Malzahar', 'Ornn', 'Xayah']","[""Cho'Gath"", 'Vayne', 'Yasuo', 'Darius', 'Blitzcrank']","[3, 0, 0, 2, 0]","[3, 0, 0, 0, 0]"
3329414334,1504508027602,1468,9,2,False,2,2,0,0,2,2,"[516, 236, 106, 99, 62]","[238, 25, 78, 81, 24]","['Ornn', 'Lucian', 'Volibear', 'Lux', 'Wukong']","['Zed', 'Morgana', 'Poppy', 'Ezreal', 'Jax']","[['Tank', 'Fighter'], ['Marksman'], ['Fighter', 'Tank'], ['Mage', 'Support'], ['Fighter', 'Tank']]","[['Assassin', 'Fighter'], ['Mage', 'Support'], ['Tank', 'Fighter'], ['Marksman', 'Mage'], ['Fighter', 'Assassin']]","[[14, 4], [7, 4], [4, 11], [3, 4], [4, 14]]","[[4, 12], [4, 3], [11, 4], [4, 7], [12, 4]]","[['Ignite', 'Flash'], ['Heal', 'Flash'], ['Flash', 'Smite'], ['Exhaust', 'Flash'], ['Flash', 'Ignite']]","[['Flash', 'Teleport'], ['Flash', 'Exhaust'], ['Smite', 'Flash'], ['Flash', 'Heal'], ['Teleport', 'Flash']]",0,0,0,0,0,8,0,0,1,1,"[119, 114, 105, 11, 63]","[157, 90, 412, 6, 141]","['Draven', 'Fiora', 'Fizz', 'Master Yi', 'Brand']","['Yasuo', 'Malzahar', 'Thresh', 'Urgot', 'Kayn']","[0, 0, 0, 0, 0]","[8, 0, 0, 1, 1]"
3331384849,1504644571701,1129,9,2,False,2,2,0,0,2,0,"[64, 497, 150, 67, 238]","[101, 117, 154, 51, 91]","['Lee Sin', 'Rakan', 'Gnar', 'Vayne', 'Zed']","['Xerath', 'Lulu', 'Zac', 'Caitlyn', 'Talon']","[['Fighter', 'Assassin'], ['Support'], ['Fighter', 'Tank'], ['Marksman', 'Assassin'], ['Assassin', 'Fighter']]","[['Mage', 'Assassin'], ['Support', 'Mage'], ['Tank', 'Fighter'], ['Marksman'], ['Assassin', 'Fighter']]","[[4, 11], [4, 3], [7, 4], [4, 12], [14, 4]]","[[4, 7], [4, 3], [4, 11], [4, 7], [12, 4]]","[['Flash', 'Smite'], ['Flash', 'Exhaust'], ['Heal', 'Flash'], ['Flash', 'Teleport'], ['Ignite', 'Flash']]","[['Flash', 'Heal'], ['Flash', 'Exhaust'], ['Flash', 'Smite'], ['Flash', 'Heal'], ['Teleport', 'Flash']]",0,0,0,0,0,3,0,0,1,0,"[99, 245, 122, 119, 75]","[102, 119, 157, 7, 5]","['Lux', 'Ekko', 'Darius', 'Draven', 'Nasus']","['Shyvana', 'Draven', 'Yasuo', 'LeBlanc', 'Xin Zhao']","[0, 0, 0, 0, 0]","[3, 0, 0, 1, 0]"
3317340805,1503611819982,193,9,2,False,2,0,0,0,0,0,"[92, 42, 238, 10, 432]","[164, 63, 56, 112, 202]","['Riven', 'Corki', 'Zed', 'Kayle', 'Bard']","['Camille', 'Brand', 'Nocturne', 'Viktor', 'Jhin']","[['Fighter', 'Assassin'], ['Marksman'], ['Assassin', 'Fighter'], ['Fighter', 'Support'], ['Support', 'Mage']]","[['Fighter', 'Tank'], ['Mage'], ['Assassin', 'Fighter'], ['Mage'], ['Marksman', 'Assassin']]","[[12, 4], [7, 4], [14, 4], [11, 4], [3, 4]]","[[12, 4], [14, 4], [4, 11], [6, 4], [7, 4]]","[['Teleport', 'Flash'], ['Heal', 'Flash'], ['Ignite', 'Flash'], ['Smite', 'Flash'], ['Exhaust', 'Flash']]","[['Teleport', 'Flash'], ['Ignite', 'Flash'], ['Flash', 'Smite'], ['Ghost', 'Flash'], ['Heal', 'Flash']]",0,0,0,0,0,0,0,0,0,0,"[122, 119, 117, 19, 34]","[8, 51, 119, 122, 40]","['Darius', 'Draven', 'Lulu', 'Warwick', 'Anivia']","['Vladimir', 'Caitlyn', 'Draven', 'Darius', 'Janna']","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
3327225092,1504354843995,198,9,1,True,1,0,0,0,0,0,"[222, 19, 40, 81, 41]","[96, 238, 117, 120, 24]","['Jinx', 'Warwick', 'Janna', 'Ezreal', 'Gangplank']","[""Kog'Maw"", 'Zed', 'Lulu', 'Hecarim', 'Jax']","[['Marksman'], ['Fighter', 'Tank'], ['Support', 'Mage'], ['Marksman', 'Mage'], ['Fighter']]","[['Marksman', 'Mage'], ['Assassin', 'Fighter'], ['Support', 'Mage'], ['Fighter', 'Tank'], ['Fighter', 'Assassin']]","[[7, 4], [11, 4], [4, 3], [4, 21], [4, 12]]","[[4, 7], [4, 14], [4, 3], [6, 11], [4, 14]]","[['Heal', 'Flash'], ['Smite', 'Flash'], ['Flash', 'Exhaust'], ['Flash', 'Barrier'], ['Flash', 'Teleport']]","[['Flash', 'Heal'], ['Flash', 'Ignite'], ['Flash', 'Exhaust'], ['Ghost', 'Smite'], ['Flash', 'Ignite']]",0,0,0,0,0,0,0,0,0,0,"[92, 53, 18, 90, 64]","[103, 105, 23, 157, 122]","['Riven', 'Blitzcrank', 'Tristana', 'Malzahar', 'Lee Sin']","['Ahri', 'Fizz', 'Tryndamere', 'Yasuo', 'Darius']","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
